job_id,num_resume,predict_id,ndcg@1,ndcg@3,ndcg@5,ndcg@7,ndcg@10,ndcg@20,ndcg@50
4791,897,10,0,0,0,0,0.2890648263178879,0.2890648263178879,0.2890648263178879
4792,897,151,0,0,0,0,0,0,0
4793,897,83,0,0,0,0,0,0,0
4796,897,172,0,0,0,0,0,0,0
4797,897,243,0,0,0,0,0,0,0
4798,897,21,0,0,0,0,0,0,0.22424382421757544
4799,897,396,0,0,0,0,0,0,0
4800,897,627,0,0,0,0,0,0,0
4801,897,216,0,0,0,0,0,0,0
4802,897,583,0,0,0,0,0,0,0
4803,897,217,0,0,0,0,0,0,0
4804,897,232,0,0,0,0,0,0,0
4805,897,545,0,0,0,0,0,0,0
4807,897,261,0,0,0,0,0,0,0
4808,897,58,0,0,0,0,0,0,0
4809,897,299,0,0,0,0,0,0,0
4810,897,48,0,0,0,0,0,0,0.1781035935540111
4811,897,47,0,0,0,0,0,0,0.17905223175104137
4812,897,19,0,0,0,0,0,0.23137821315975915,0.23137821315975915
4813,897,183,0,0,0,0,0,0,0
4814,897,552,0,0,0,0,0,0,0
4816,897,63,0,0,0,0,0,0,0
4817,897,97,0,0,0,0,0,0,0
4818,897,332,0,0,0,0,0,0,0
4819,897,511,0,0,0,0,0,0,0
4820,897,2,0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
4821,897,58,0,0,0,0,0,0,0
4823,897,157,0,0,0,0,0,0,0
4825,897,4,0,0,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306
4826,897,561,0,0,0,0,0,0,0
4827,897,335,0,0,0,0,0,0,0
4828,897,9,0,0,0,0,0.3010299956639812,0.3010299956639812,0.3010299956639812
4829,897,852,0,0,0,0,0,0,0
4830,897,23,0,0,0,0,0,0,0.21810429198553155
4831,897,2,0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
4832,897,30,0,0,0,0,0,0,0.20184908658209985
4833,897,60,0,0,0,0,0,0,0
4834,897,132,0,0,0,0,0,0,0
4835,897,527,0,0,0,0,0,0,0
4836,897,365,0,0,0,0,0,0,0
4837,897,99,0,0,0,0,0,0,0
4838,897,71,0,0,0,0,0,0,0
4840,897,314,0,0,0,0,0,0,0
4841,897,131,0,0,0,0,0,0,0
4842,897,538,0,0,0,0,0,0,0
4843,897,381,0,0,0,0,0,0,0
4844,897,188,0,0,0,0,0,0,0
4845,897,8,0,0,0,0,0.31546487678572877,0.31546487678572877,0.31546487678572877
4846,897,450,0,0,0,0,0,0,0
4847,897,63,0,0,0,0,0,0,0
4848,897,35,0,0,0,0,0,0,0.19342640361727081
4850,897,437,0,0,0,0,0,0,0
4851,896,71,0,0,0,0,0,0,0
4852,897,258,0,0,0,0,0,0,0
4853,897,6,0,0,0,0.3562071871080222,0.3562071871080222,0.3562071871080222,0.3562071871080222
4854,897,14,0,0,0,0,0,0.2559580248098155,0.2559580248098155
4855,896,533,0,0,0,0,0,0,0
4856,897,42,0,0,0,0,0,0,0.18428883314870617
4857,897,194,0,0,0,0,0,0,0
4859,897,45,0,0,0,0,0,0,0.1810425967800402
4860,897,102,0,0,0,0,0,0,0
4861,897,17,0,0,0,0,0,0.23981246656813146,0.23981246656813146
4862,897,4,0,0,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306
4863,897,39,0,0,0,0,0,0,0.18790182470910757
4864,897,66,0,0,0,0,0,0,0
4866,897,747,0,0,0,0,0,0,0
4867,897,13,0,0,0,0,0,0.26264953503719357,0.26264953503719357
4868,897,187,0,0,0,0,0,0,0
4870,897,715,0,0,0,0,0,0,0
4871,897,87,0,0,0,0,0,0,0
4872,897,533,0,0,0,0,0,0,0
4874,897,313,0,0,0,0,0,0,0
4875,897,181,0,0,0,0,0,0,0
4876,897,427,0,0,0,0,0,0,0
4877,897,308,0,0,0,0,0,0,0
